"country","state","name","latitude","longitude"
"United States","AL","Abanda",33.091627,-85.527029
"United States","AL","Abbeville",31.564689,-85.259124
"United States","AL","Adamsville",33.60575,-86.97465
"United States","AL","Addison",34.202681,-87.178004
"United States","AL","Akron",32.879495,-87.741679
"United States","AL","Alabaster",33.219442,-86.823907
"United States","AL","Albertville",34.26313,-86.21066
"United States","AL","Alexander",32.92724,-85.937122
"United States","AL","Alexandria",33.760819,-85.872008
"United States","AL","Aliceville",33.123686,-88.159364
"United States","AL","Allgood",33.907623,-86.516109
"United States","AL","Altoona",34.039204,-86.305697
"United States","AL","Andalusia",31.309436,-86.478031
"United States","AL","Anderson",34.915675,-87.274274
"United States","AL","Anniston",33.67344,-85.810918
"United States","AL","Arab",34.332387,-86.501167
"United States","AL","Ardmore",34.987838,-86.829022
"United States","AL","Argo",33.691576,-86.503766
"United States","AL","Ariton",31.597772,-85.713061
"United States","AL","Arley",34.076234,-87.217831
"United States","AL","Ashford",31.185284,-85.236236
"United States","AL","Ashland",33.269892,-85.833706
"United States","AL","Ashville",33.835197,-86.270015
"United States","AL","Athens",34.779021,-86.950799
"United States","AL","Atmore",31.127936,-87.457643
"United States","AL","Attalla",33.986189,-86.121037
"United States","AL","Auburn",32.607722,-85.489545
"United States","AL","Autaugaville",32.432563,-86.658752
"United States","AL","Avon",31.179727,-85.279211
"United States","AL","Axis",30.922563,-88.02185
"United States","AL","Babbie",31.302083,-86.319437
"United States","AL","Baileyton",34.260858,-86.608788
"United States","AL","Bakerhill",31.776923,-85.295408
"United States","AL","Ballplay",34.023046,-85.801481
"United States","AL","Banks",31.813264,-85.836434
"United States","AL","Bay Minette",30.894436,-87.791306
"United States","AL","Bayou La Batre",30.407586,-88.263271
"United States","AL","Bear Creek",34.255481,-87.713399
"United States","AL","Beatrice",31.733309,-87.209046
"United States","AL","Beaverton",33.935411,-88.021778
"United States","AL","Belgreen",34.474665,-87.861685
"United States","AL","Belk",33.651647,-87.928609
"United States","AL","Bellamy",32.463658,-88.131481
"United States","AL","Belle Fontaine",30.489492,-88.10594
"United States","AL","Benton",32.307931,-86.817546
"United States","AL","Berry",33.666702,-87.609311
"United States","AL","Bessemer",33.370789,-86.971596
"United States","AL","Billingsley",32.66522,-86.706673
"United States","AL","Birmingham",33.527444,-86.799047
"United States","AL","Black",31.010249,-85.742791
"United States","AL","Blountsville",34.075728,-86.583728
"United States","AL","Blue Ridge",32.4989,-86.182436
"United States","AL","Blue Springs",31.663516,-85.503526
"United States","AL","Boaz",34.19902,-86.155151
"United States","AL","Boligee",32.7681,-88.028579
"United States","AL","Bon Air",33.25937,-86.327148
"United States","AL","Boykin",32.068375,-87.294343
"United States","AL","Brantley",31.581992,-86.256784
"United States","AL","Brantleyville",33.219303,-86.882522
"United States","AL","Brent",32.944893,-87.172088
"United States","AL","Brewton",31.109175,-87.076583
"United States","AL","Bridgeport",34.949312,-85.723765
"United States","AL","Brighton",33.439229,-86.945385
"United States","AL","Brilliant",34.025353,-87.769145
"United States","AL","Bristow Cove",34.109216,-86.240993
"United States","AL","Brook Highland",33.442183,-86.686686
"United States","AL","Brookside",33.636966,-86.89608
"United States","AL","Brookwood",33.239844,-87.331494
"United States","AL","Broomtown",34.365728,-85.532112
"United States","AL","Brundidge",31.717639,-85.81755
"United States","AL","Bucks",31.016881,-88.026385
"United States","AL","Butler",32.095113,-88.21397
"United States","AL","Calera",33.122324,-86.745644
"United States","AL","Calvert",31.15447,-88.01046
"United States","AL","Camden",31.998493,-87.28895
"United States","AL","Camp Hill",32.797327,-85.655833
"United States","AL","Carbon Hill",33.894991,-87.522078
"United States","AL","Cardiff",33.647188,-86.930557
"United States","AL","Carlisle-Rockledge",34.114451,-86.124073
"United States","AL","Carlton",31.348571,-87.835666
"United States","AL","Carolina",31.23415,-86.521001
"United States","AL","Carrollton",33.261903,-88.095071
"United States","AL","Castleberry",31.299678,-87.029129
"United States","AL","Catherine",32.18617,-87.469978
"United States","AL","Cedar Bluff",34.221422,-85.588565
"United States","AL","Center Point",33.643903,-86.684567
"United States","AL","Centre",34.155363,-85.668842
"United States","AL","Centreville",32.958798,-87.132305
"United States","AL","Chatom",31.469145,-88.246019
"United States","AL","Chelsea",33.326887,-86.629519
"United States","AL","Cherokee",34.7577,-87.965589
"United States","AL","Chickasaw",30.77145,-88.079697
"United States","AL","Childersburg",33.291877,-86.340599
"United States","AL","Choccolocco",33.674346,-85.710918
"United States","AL","Chunchula",30.927194,-88.2082
"United States","AL","Citronelle",31.097266,-88.249839
"United States","AL","Clanton",32.841704,-86.623008
"United States","AL","Clay",33.696582,-86.608166
"United States","AL","Clayhatchee",31.236925,-85.721478
"United States","AL","Clayton",31.882414,-85.460541
"United States","AL","Cleveland",34.002179,-86.561352
"United States","AL","Clio",31.708516,-85.611039
"United States","AL","Coaling",33.169901,-87.349887
"United States","AL","Coats Bend",34.077426,-85.874184
"United States","AL","Coffee Springs",31.165836,-85.910898
"United States","AL","Coffeeville",31.766564,-88.086049
"United States","AL","Coker",33.243752,-87.681329
"United States","AL","Collinsville",34.262193,-85.867868
"United States","AL","Colony",33.941185,-86.901864
"United States","AL","Columbia",31.295351,-85.110202
"United States","AL","Columbiana",33.19145,-86.615666
"United States","AL","Concord",33.461986,-87.040435
"United States","AL","Coosada",32.495394,-86.326543
"United States","AL","Cordova",33.761292,-87.201099
"United States","AL","Cottondale",33.193047,-87.454861
"United States","AL","Cottonwood",31.054033,-85.29956
"United States","AL","County Line",33.820895,-86.71973
"United States","AL","Courtland",34.669946,-87.327892
"United States","AL","Cowarts",31.206248,-85.309769
"United States","AL","Creola",30.874343,-88.009442
"United States","AL","Crossville",34.285486,-85.998756
"United States","AL","Cuba",32.440733,-88.374798
"United States","AL","Cullman",34.179337,-86.840793
"United States","AL","Cullomburg",31.713061,-88.291774
"United States","AL","Cusseta",32.787654,-85.305748
"United States","AL","Dadeville",32.826114,-85.776201
"United States","AL","Daleville",31.291397,-85.711418
"United States","AL","Daphne",30.625545,-87.895979
"United States","AL","Dauphin Island",30.250913,-88.171268
"United States","AL","Daviston",33.056839,-85.634329
"United States","AL","Dayton",32.350958,-87.641573
"United States","AL","Deatsville",32.588972,-86.388984
"United States","AL","Decatur",34.573321,-86.992135
"United States","AL","Deer Park",31.218369,-88.328023
"United States","AL","Delta",33.440524,-85.675905
"United States","AL","Demopolis",32.499938,-87.825426
"United States","AL","Detroit",34.027379,-88.167831
"United States","AL","Dodge",34.045414,-86.88267
"United States","AL","Dora",33.729703,-87.083874
"United States","AL","Dothan",31.233698,-85.406823
"United States","AL","Double Springs",34.15134,-87.403488
"United States","AL","Douglas",34.168258,-86.323386
"United States","AL","Dozier",31.505407,-86.369235
"United States","AL","Dunnavant",33.508673,-86.529843
"United States","AL","Dutton",34.606152,-85.91185
"United States","AL","East Brewton",31.09144,-87.055345
"United States","AL","East Point",34.191023,-86.791785
"United States","AL","Eclectic",32.640179,-86.041096
"United States","AL","Edgewater",33.530099,-86.95279
"United States","AL","Edwardsville",33.88374,-85.414124
"United States","AL","Egypt",34.075931,-86.165051
"United States","AL","Elba",31.417313,-86.077189
"United States","AL","Elberta",30.373689,-87.595778
"United States","AL","Eldridge",33.922018,-87.620108
"United States","AL","Elkmont",34.932604,-86.976971
"United States","AL","Elmore",32.544337,-86.336446
"United States","AL","Emelle",32.728678,-88.316486
"United States","AL","Emerald Mountain",32.447641,-86.094618
"United States","AL","Enterprise",31.326912,-85.844077
"United States","AL","Epes",32.691249,-88.126852
"United States","AL","Ethelsville",33.414066,-88.216093
"United States","AL","Eufaula",31.910041,-85.152556
"United States","AL","Eunola",31.03139,-85.833966
"United States","AL","Eutaw",32.846247,-87.900332
"United States","AL","Eva",34.326504,-86.765318
"United States","AL","Evergreen",31.442718,-86.959904
"United States","AL","Excel",31.426386,-87.343663
"United States","AL","Fairfield",33.474704,-86.919339
"United States","AL","Fairford",31.178002,-88.072784
"United States","AL","Fairhope",30.52092,-87.879122
"United States","AL","Fairview",34.24906,-86.688834
"United States","AL","Falkville",34.377019,-86.909547
"United States","AL","Faunsdale",32.457614,-87.593789
"United States","AL","Fayette",33.694215,-87.831169
"United States","AL","Fayetteville",33.168097,-86.442774
"United States","AL","Fitzpatrick",32.210373,-85.873699
"United States","AL","Five Points",33.017311,-85.351592
"United States","AL","Flomaton",31.014816,-87.256016
"United States","AL","Florala",31.022391,-86.318152
"United States","AL","Florence",34.830323,-87.666139
"United States","AL","Foley",30.397009,-87.664211
"United States","AL","Forestdale",33.574074,-86.899918
"United States","AL","Forkland",32.647435,-87.867436
"United States","AL","Fort Deposit",31.986261,-86.566359
"United States","AL","Fort Payne",34.457329,-85.689447
"United States","AL","Fort Rucker",31.342576,-85.716072
"United States","AL","Franklin",32.455269,-85.807017
"United States","AL","Fredonia",32.973565,-85.302938
"United States","AL","Frisco",31.439485,-87.404182
"United States","AL","Fruitdale",31.34979,-88.410937
"United States","AL","Fruithurst",33.729539,-85.431249
"United States","AL","Fulton",31.790989,-87.744212
"United States","AL","Fultondale",33.617648,-86.801595
"United States","AL","Fyffe",34.449615,-85.904969
"United States","AL","Gadsden",34.009563,-86.015643
"United States","AL","Gainesville",32.814934,-88.160791
"United States","AL","Gallant",34.001318,-86.230171
"United States","AL","Gantt",31.41074,-86.483524
"United States","AL","Garden",34.015971,-86.751158
"United States","AL","Gardendale",33.676587,-86.809844
"United States","AL","Gaylesville",34.268103,-85.558468
"United States","AL","Geiger",32.868715,-88.318154
"United States","AL","Geneva",31.044886,-85.876818
"United States","AL","Georgiana",31.639134,-86.746762
"United States","AL","Geraldine",34.359087,-86.002579
"United States","AL","Gilbertown",31.875791,-88.319489
"United States","AL","Glen Allen",33.892108,-87.732682
"United States","AL","Glencoe",33.939389,-85.934313
"United States","AL","Glenwood",31.671266,-86.173687
"United States","AL","Goldville",33.084867,-85.777982
"United States","AL","Good Hope",34.109835,-86.865195
"United States","AL","Goodwater",33.060835,-86.052333
"United States","AL","Gordo",33.322286,-87.903681
"United States","AL","Gordon",31.143938,-85.093249
"United States","AL","Gordonville",32.159179,-86.704235
"United States","AL","Goshen",31.720015,-86.123245
"United States","AL","Graham",33.455191,-85.323085
"United States","AL","Grand Bay",30.472082,-88.344401
"United States","AL","Grant",34.518173,-86.26043
